Facility Id,Facility Name,City,State,Zip Code,Address,Latitude,Longitude,Total reported direct emissions,CO2 emissions (non-biogenic) ,Methane (CH4) emissions ,Nitrous Oxide (N2O) emissions ,Stationary Combustion,Electricity Generation
1004377,121 REGIONAL DISPOSAL FACILITY,MELISSA,TX,75454,3820 SAM RAYBURN HIGHWAY,33.30,-96.54,653854.0,,653854.0,,,
1010040,15-18565/15-18662,Hazard,KY,40701,1021 Tori Drive,37.27,-83.24,125981.8,,125981.8,,,
1010085,15-19015,Hazard,KY,41701,1845 S. KY HWY 15,37.24,-83.18,93918.8,,93918.8,,,
1000112,23rd and 3rd,BROOKLYN,NY,11232,730 3rd Avenue,40.66,-74.00,70705.3,70633.5,32.8,39.0,250.1,70455.2
1003742,31st Street Landfill,WESTCHESTER,IL,60154,11700 W 31ST ST,41.83,-87.92,31220.2,168.4,31051.8,,168.4,
1003188,3M BROWNWOOD,BROWNWOOD,TX,76801,4501 HIGHWAY 377 SOUTH,31.67,-99.00,34432.4,34396.8,16.3,19.4,34265.4,
1005043,3M CO,MAPLEWOOD,MN,55144,,44.95,-93.00,104995.5,104883.3,50.3,62.0,104995.5,
1003739,3M CO - GUIN,GUIN,AL,35563,6675 US HIGHWAY 43,33.97,-87.90,28622.3,28593.8,13.0,15.5,27795.9,
1007698,3M CO - WAUSAU DOWNTOWN,WAUSAU,WI,54401,144 ROSECRANS ST,44.95,-89.64,40427.0,40385.4,19.0,22.6,40427.0,
1004206,3M COMPANY,DECATUR,AL,35609,1400 STATE DOCKS RD.,34.64,-87.03,48998.5,46293.6,22.0,26.2,46341.8,
1006665,3M CORDOVA,CORDOVA,IL,61242,22614 ROUTE 84 NORTH,41.76,-90.28,723398.0,29758.8,14.3,17.9,29790.9,
1004836,3M Cottage Grove Center - Site,Cottage Grove,MN,55016,10746 Innovation Rd,44.79,-92.91,62458.5,31053.7,20.0,49.5,30164.6,
1003408,3M INDUSTRIAL MINERAL PRODUCTS DIVISION,LITTLE ROCK,AR,72206,3110 WALTERS DRIVE,34.71,-92.25,25541.6,25515.3,12.0,14.3,25541.6,
1004914,3M MAGNETIC TAPE MANUFACTURING DIVISION,HUTCHINSON,MN,55350,905-915 ADAMS STREET SOUTHEAST,44.88,-94.36,38918.0,38877.4,18.5,22.1,38918.0,
1004804,3M NEVADA PLANT,NEVADA,MO,64772,2120 E. AUSTIN,37.83,-94.33,33196.3,33162.3,15.5,18.5,33196.3,
1013282,3M Pittsboro,Moncure,NC,27559,4191 Hwy 87 South,35.66,-79.18,25848.5,25821.6,12.3,14.6,25848.5,
1007408,4 West Mine,Dilliner,PA,15327,625 Bald Hill Church Road,39.76,-80.00,27813.5,,27813.5,,,
1001106,48th Street Peaking Station,HOLLAND,MI,49423,491 E 48TH ST,42.76,-86.09,32159.8,32127.5,14.8,17.6,68.5,32091.3
1004680,58TH ST LF (MAIN COUNTY LF),MIAMI,FL,33178,8831 NW 58TH ST,25.83,-80.35,71586.5,,71586.5,,,
1000766,59th Street,NEW YORK,NY,10019,850 12TH AVE,40.77,-73.99,260405.9,260083.1,134.5,188.3,260405.9,
1007733,69TH ST WWTP,HOUSTON,TX,77020,2525 SSGT MACARIO GARCIA DR,29.76,-95.30,21834.1,21811.6,10.3,12.2,21834.1,
1000767,74th Street,NEW YORK,NY,10021,506 E 75TH ST,40.77,-73.95,270795.3,270459.4,139.3,196.7,270795.3,
1001033,A B Brown Generating Station,MOUNT VERNON,IN,47620,8511 WELBORN ROAD,37.91,-87.72,2741626.7,2719836.8,7972.3,13817.7,,2741626.7
