Facility Id,Facility Name,City,State,Zip Code,Address,Latitude,Longitude,Total reported direct emissions,CO2 emissions (non-biogenic) ,Methane (CH4) emissions ,Nitrous Oxide (N2O) emissions ,Stationary Combustion,Electricity Generation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1002685,AC 857 A,Offshore,TX,00000,,26.30,-94.90,205454.2,200728.2,4563.3,162.7,192490.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1004377,121 REGIONAL DISPOSAL FACILITY,MELISSA,TX,75454,3820 SAM RAYBURN HIGHWAY,33.30,-96.54,325416.3,,325416.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1010040,15-18565/15-18662,Hazard,KY,40701,1021 Tori Drive,37.27,-83.24,51538.8,,51538.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000112,23rd and 3rd,BROOKLYN,NY,11232,730 3rd Avenue,40.66,-74.00,68839.4,68769.8,31.8,37.8,331.4,68508.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1003742,31st Street Landfill,WESTCHESTER,IL,60154,11700 W 31ST ST,41.83,-87.92,106294.2,293.9,106000.0,0.3,294.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1003188,3M BROWNWOOD,BROWNWOOD,TX,76801,4501 HIGHWAY 377 SOUTH,31.67,-99.00,29520.0,29489.9,13.8,16.4,29389.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1005043,3M CO,MAPLEWOOD,MN,55144,,44.95,-93.00,87926.1,87820.6,44.8,60.8,87926.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1003739,3M CO - GUIN,GUIN,AL,35563,6675 US HIGHWAY 43,33.97,-87.90,29837.7,29808.1,13.5,16.1,28827.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007698,3M CO - WAUSAU DOWNTOWN,WAUSAU,WI,54401,144 ROSECRANS ST,44.95,-89.64,41528.1,41485.4,19.5,23.2,41528.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1004206,3M COMPANY,DECATUR,AL,35609,1400 STATE DOCKS RD.,34.64,-87.03,38181.7,36887.4,17.3,21.2,36925.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1006665,3M CORDOVA,CORDOVA,IL,61242,22614 ROUTE 84 NORTH,41.76,-90.28,650245.0,35151.3,17.5,22.1,35190.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1004836,3M Cottage Grove Center - Site,Cottage Grove,MN,55016,10746 Innovation Rd,44.79,-92.91,24091.7,23309.9,10.5,13.1,22111.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1003408,3M INDUSTRIAL MINERAL PRODUCTS DIVISION,LITTLE ROCK,AR,72206,3110 WALTERS DRIVE,34.71,-92.25,32759.8,32725.8,15.5,18.5,32759.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1004914,3M MAGNETIC TAPE MANUFACTURING DIVISION,HUTCHINSON,MN,55350,905-915 ADAMS STREET SOUTHEAST,44.88,-94.36,37329.3,37290.9,17.5,20.9,37329.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1004804,3M NEVADA PLANT,NEVADA,MO,64772,2120 E. AUSTIN,37.83,-94.33,34976.3,34940.1,16.5,19.7,34976.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1013282,3M Pittsboro,Moncure,NC,27559,4191 Hwy 87 South,35.66,-79.18,28141.9,28112.9,13.3,15.8,28141.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1001106,48th Street Peaking Station,HOLLAND,MI,49423,491 E 48TH ST,42.76,-86.09,55105.2,55049.3,25.5,30.4,115.3,54989.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1004680,58TH ST LF (MAIN COUNTY LF),MIAMI,FL,33178,8831 NW 58TH ST,25.83,-80.35,56991.8,,56991.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000766,59th Street,NEW YORK,NY,10019,850 12TH AVE,40.77,-73.99,201079.1,200865.7,96.0,117.4,201079.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000767,74th Street,NEW YORK,NY,10021,506 E 75TH ST,40.77,-73.95,253920.2,253582.5,136.0,201.7,253920.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1001033,A B Brown Generating Station,MOUNT VERNON,IN,47620,8511 WELBORN ROAD,37.91,-87.72,3293747.1,3267724.5,9523.5,16499.1,,3293747.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012058,"A.C.M.S., Inc.",Lake Panasoffkee,FL,33538,835 CR 529,28.74,-82.09,313745.5,,313745.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1013527,A.J. Mihm Generating Station,Pelkie,MI,49958,816017 Sarya Road,46.79,-88.62,112263.5,112147.9,52.8,62.9,112263.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1002983,ABBOTT PARK FACILITY,ABBOTT PARK,IL,60064,100 ABBOTT PARK RD,42.30,-87.89,57247.1,57187.9,27.0,32.2,57247.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
