1. Crater name ,2. Diameter [km],3. Latitude [°],4. Longitude [°],8. Apparent diameter [km],11. Floor diameter [km],14. Apparent depth [km],16. Interior volume [km^3],20. Height of central peak [km],51. Age
Abbe,63.98,-57.58,174.77,55.02,33.7,2.732,3536.22,0,Nectarian
Abbe H,25.13,-58.44,177.58,21.61,10.49,1.904,408.34,0.34,
Abbe K,26.1,-59.82,176.86,22.45,11,1.926,445.67,0.37,
Abbe M,28.61,-61.75,175.24,24.6,12.33,1.98,550.98,0.44,
Abbot,10.4,5.56,54.74,8.63,1.93,1.71,44.99,0,
Abel,137.35,-34.63,85.78,118.12,0,2.949,20651.96,0,pre-Nectarian
Abel A,27.83,-36.31,85.8,23.93,11.91,1.964,516.9,0.42,
Abel B,41.55,-36.72,82.6,35.73,19.65,2.218,1304.6,0.93,Nectarian
Abel C,36.84,-36.13,81.41,31.68,16.91,2.139,988.04,0.73,
Abel D,27.9,-37.67,86.45,23.99,11.95,1.965,519.9,0.42,
Abel E,14,-37.54,84.44,11.62,3.27,2.262,0,0,
Abel J,18.76,-36.2,79.87,16.13,5.48,1.742,0,0.19,
Abel K,9.94,-34.69,77.46,8.25,1.79,1.639,39.28,0,
Abel L,54.13,-34.55,82.39,46.55,27.35,2.404,2403.36,0,Nectarian
Abel M,91.01,-32.38,83.52,78.27,52.33,2.83,7981.28,0,pre-Nectarian
Abenezra,43.19,-20.99,11.89,37.14,20.63,2.245,1426.63,1,Upper Imbrian
Abenezra A,22.19,-22.79,10.44,19.08,8.98,1.833,306.34,0.27,
Abenezra B,13.77,-20.82,10.06,11.43,3.17,2.227,0,0,
Abenezra C,43.69,-21.37,11.09,37.57,20.93,2.253,1465.07,1.02,
Abenezra D,7.25,-21.76,9.65,6.02,1.02,1.218,15.24,0,
Abenezra E,14.11,-21.46,9.4,11.71,3.31,2.279,0,0,
Abenezra F,6.3,-21.58,10.34,5.23,0.8,1.067,10,0,
Abenezra G,4.92,-20.53,11,4.08,0.52,0.846,4.76,0,
Abenezra H,4.72,-21.09,12.71,3.92,0.48,0.813,4.21,0,
Abenezra J,4.26,-19.92,10.69,3.54,0.4,0.738,3.09,0,
Abenezra P,39.27,-20.02,9.85,33.77,18.32,2.181,1145.14,0.83,
Abetti,1.6,20.11,27.82,1.33,0.07,0.294,0.16,0,
Abul Wafa,54.18,0.96,116.63,46.59,27.38,2.405,2408.49,0,Nectarian
Abul Wafa A,14.98,1.4,116.86,12.43,3.68,2.411,0,0,
Abul Wafa Q,31.04,0.14,115.88,26.69,13.65,2.03,665.14,0.52,
Abulfeda,62.23,-13.87,13.91,53.52,32.55,2.725,3316.78,0,Nectarian
Abulfeda A,13.26,-16.43,10.75,11.01,2.97,2.15,0,0,
Abulfeda B,15.49,-14.51,16.37,12.86,3.91,2.488,0,0,
Abulfeda BA,13.99,-14.69,16.8,11.61,3.26,2.261,0,0,
Abulfeda C,16.43,-12.79,10.83,13.64,4.33,2.63,0,0,
Abulfeda D,19.68,-13.25,9.46,16.92,5.96,1.768,232.15,0.21,
Abulfeda E,5.55,-16.76,10.14,4.61,0.64,0.947,6.84,0,
Abulfeda F,17.47,-16.19,13.07,14.5,4.83,2.786,0,0.17,
Abulfeda G,6.31,-13.1,8.94,5.24,0.8,1.069,10.05,0,
Abulfeda H,4.22,-13.84,9.56,3.5,0.39,0.732,3.01,0,
Abulfeda J,4.07,-15.49,10.03,3.38,0.37,0.707,2.7,0,
Abulfeda K,9.93,-14.92,10.58,8.24,1.78,1.637,39.17,0,
Abulfeda L,4.95,-14.09,10.67,4.11,0.52,0.85,4.85,0,
Abulfeda M,10.05,-16.23,12.06,8.34,1.82,1.656,40.6,0,
Abulfeda N,13.07,-15.14,12.2,10.85,2.89,2.121,0,0,
Abulfeda O,6.6,-15.47,11.16,5.48,0.87,1.115,11.5,0,
Abulfeda P,4.59,-15.5,11.54,3.81,0.46,0.792,3.87,0,
Abulfeda Q,3.51,-12.86,12.22,2.91,0.28,0.615,1.73,0,
Abulfeda R,6.34,-12.79,12.97,5.26,0.81,1.073,10.19,0,
Abulfeda S,5.28,-12.28,13.3,4.38,0.58,0.904,5.89,0,
Abulfeda T,6.16,-14.86,13.71,5.11,0.77,1.045,9.35,0,
Abulfeda U,5.82,-12.97,13.8,4.83,0.69,0.99,7.89,0,
Abulfeda W,5.42,-12.55,13.85,4.5,0.61,0.926,6.37,0,
Abulfeda X,5.8,-15.01,13.99,4.81,0.69,0.987,7.8,0,
Abulfeda Y,4.63,-12.76,14.05,3.84,0.46,0.799,3.97,0,
Abulfeda Z,5.66,-14.73,15.18,4.7,0.66,0.965,7.25,0,
Acosta,13.06,-5.65,60.14,10.84,2.89,2.119,0,0,
Adams,63.27,-31.89,68.39,54.41,33.23,2.729,3446.23,0,Nectarian
Adams B,31.33,-31.54,65.7,26.94,13.81,2.036,679.59,0.53,
Adams C,11.12,-32.35,65.54,9.23,2.18,1.821,55,0,
Adams D,46.26,-32.41,71.45,39.78,22.47,2.292,1671.87,1.14,
Adams M,25.23,-34.73,69.33,21.7,10.54,1.906,412.1,0.35,
Adams P,25.43,-35.15,70.91,21.87,10.64,1.911,419.69,0.35,
Aepinus,16.74,87.96,-109.69,13.89,4.48,2.677,0,0,
Agatharchides,51.98,-19.85,-31.11,44.7,26,2.375,2188.56,0,
Agatharchides A,15.68,-23.27,-28.46,13.01,3.99,2.517,0,0,
Agatharchides B,6.97,-21.52,-31.71,5.79,0.95,1.174,13.54,0,
Agatharchides C,11.46,-22.06,-32.94,9.51,2.3,1.874,60.2,0,
Agatharchides E,15.27,-20.74,-33.19,12.67,3.81,2.455,0,0,
Agatharchides F,5.89,-20.26,-31.86,4.89,0.71,1.002,8.17,0,
Agatharchides G,5.96,-20.17,-26.84,4.95,0.72,1.013,8.47,0,
Agatharchides H,15.97,-20.41,-33.95,13.26,4.12,2.561,0,0,
Agatharchides J,13.04,-21.62,-32.61,10.82,2.88,2.116,0,0,
Agatharchides K,13.35,-21.08,-27.53,11.08,3,2.163,0,0,
Agatharchides L,7.99,-21.12,-26.79,6.63,1.21,1.335,20.4,0,
Agatharchides N,21.65,-21.09,-29.72,18.62,8.71,1.82,289.39,0.26,
Agatharchides O,4.65,-19.24,-26.71,3.86,0.47,0.802,4.02,0,
Agatharchides P,65.98,-20.3,-28.77,56.74,35.02,2.741,3796.81,0,Nectarian
Agatharchides R,5.11,-18.36,-30.85,4.24,0.55,0.876,5.34,0,
Agatharchides S,3.06,-17.75,-30.59,2.54,0.22,0.541,1.15,0,
Agatharchides T,5.62,-18.32,-27.8,4.66,0.65,0.958,7.1,0,
Agrippa,43.75,4.1,10.47,37.63,20.96,2.253,1469.73,1.03,Eratosthenian
Agrippa B,4.01,6.2,9.46,3.33,0.36,0.698,2.58,0,
Agrippa D,21.36,3.77,6.72,18.37,8.56,1.812,280.51,0.25,
Agrippa E,5,5.16,8.44,4.15,0.53,0.859,5,0,
Agrippa F,5.35,4.3,11.37,4.44,0.6,0.915,6.13,0,
Agrippa G,13.24,3.91,6.16,10.99,2.96,2.147,0,0,
Agrippa H,4.86,4.75,10.7,4.03,0.5,0.836,4.59,0,
Agrippa S,31.71,5.28,8.89,27.27,14.02,2.043,698.78,0.54,
Airy,38.9,-18.14,5.61,33.45,18.1,2.174,1120.37,0.81,
Airy A,12.19,-17.05,7.64,10.12,2.56,1.986,72.46,0,
Airy B,27.26,-17.67,8.46,23.44,11.61,1.952,492.77,0.4,
Airy C,30.49,-19.25,4.77,26.22,13.35,2.019,638.23,0.5,
Airy D,6.61,-18.13,8.34,5.49,0.87,1.116,11.55,0,
Airy E,38.04,-20.75,7.55,32.71,17.6,2.16,1063.98,0.78,
Airy F,4.84,-18.2,7.26,4.02,0.5,0.833,4.54,0,
Airy G,25.32,-18.7,6.96,21.78,10.59,1.908,415.51,0.35,
Airy H,9.31,-18.74,5.69,7.73,1.59,1.541,32.28,0,
Airy J,3.93,-19.05,6.08,3.26,0.35,0.684,2.43,0,
Airy L,6.02,-20.47,7.54,5,0.74,1.022,8.73,0,
Airy M,0.85,-19.15,7.56,0.71,0.02,0.11,0.02,0,
Airy N,7.95,-17.85,8.18,6.6,1.2,1.328,20.1,0,
Airy O,4.53,-16.75,8.35,3.76,0.45,0.782,3.72,0,
Airy P,6.64,-15.88,8.35,5.51,0.88,1.121,11.71,0,
Airy R,6.34,-19.6,8.78,5.26,0.81,1.073,10.19,0,
Airy S,5.31,-17.28,9.39,4.41,0.59,0.909,5.99,0,
Airy T,36.92,-19.27,9.38,31.75,16.96,2.14,993.01,0.73,
Airy V,4.43,-17.5,9.14,3.68,0.43,0.766,3.48,0,
Airy X,3.87,-18.95,10.12,3.21,0.34,0.675,2.32,0,
Aitken,129.69,-16.44,172.96,111.53,0,2.932,18088.02,0,Upper Imbrian
