Facility Id,Facility Name,City,State,Zip Code,Address,Latitude,Longitude,Total reported direct emissions,CO2 emissions (non-biogenic) ,Methane (CH4) emissions ,Nitrous Oxide (N2O) emissions ,Stationary Combustion,Electricity Generation
1004377,121 REGIONAL DISPOSAL FACILITY,MELISSA,TX,75454,3820 SAM RAYBURN HIGHWAY,33.29857,-96.53586,0.00,0.00,,,,
1000112,23rd and 3rd,BROOKLYN,NY,11232,730 3rd Avenue,40.663,-74,"82,959.74","82,875.90",38.25,45.59,362.80,"82,596.94"
1006394,29-6 #2 Central Delivery Point,Blanco,NM,87412,,36.7452,-107.4455,"25,176.66","25,150.90",11.75,14.01,"25,176.66",
1002885,30-5 Central Delivery Point Compressor Station,Aztec,NM,87410,,36.8118,-107.4036,"38,883.20","38,843.20",18.25,21.75,"38,883.20",
1002707,31-6 Central Delivery Point,BLOOMFIELD,NM,87413,,36.8363,-107.4199,"63,884.36","63,818.60",30.00,35.76,"63,884.36",
1003742,31st Street Landfill,WESTCHESTER,IL,60154,11700 W 31ST ST,41.83491,-87.91633,"12,869.00",,"12,869.00",,,
1002718,32-7 Central Delivery Point,BLANCO,NM,87412,,36.9313,-107.5604,"56,478.59","56,420.50",26.50,31.59,"56,478.59",
1002721,32-8 #2 CDP COMPRESSOR STATION,BLANCO,NM,87412,,36.9569,-107.6631,"55,075.09","55,018.10",26.00,30.99,"55,075.09",
1003188,3M BROWNWOOD,BROWNWOOD,TX,76801,4501 HIGHWAY 377 SOUTH,31.671177,-98.996513,"36,879.41","36,841.60",17.25,20.56,"36,671.91",
1005043,3M CO,MAPLEWOOD,MN,55144,,44.951,-92.9959,"75,803.06","75,737.30",30.00,35.76,"75,803.06",
1003739,3M CO - GUIN,GUIN,AL,35563,6675 US HIGHWAY 43,33.96672,-87.899855,"28,750.00","28,721.50",13.00,15.50,"27,638.80",
1007698,3M CO - WAUSAU DOWNTOWN,WAUSAU,WI,54401,144 ROSECRANS ST,44.95018,-89.63766,"26,048.55","26,021.70",12.25,14.60,"26,048.55",
1004206,3M COMPANY,DECATUR,AL,35609,1400 STATE DOCKS RD.,34.641667,-87.038611,"50,947.46","50,894.30",24.25,28.91,"50,947.46",
1006665,3M CORDOVA,CORDOVA,IL,61242,22614 ROUTE 84 NORTH,41.755,-90.284167,"28,987.89","28,957.70",13.50,16.69,"28,987.89",
